Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,14569472
08/13/2026 18:52:38,System.Runtime,dotnet.assembly.count ({assembly}),Metric,16
08/13/2026 18:52:38,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,560
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,228296
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,169960
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:38,System.Runtime,dotnet.timer.count ({timer}),Metric,0
08/13/2026 18:52:38,System.Runtime,dotnet.process.memory.working_set (By),Metric,46972928
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,456
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,3432
08/13/2026 18:52:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,14569472
08/13/2026 18:52:39,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
08/13/2026 18:52:39,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,15259
08/13/2026 18:52:39,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
08/13/2026 18:52:39,System.Runtime,dotnet.assembly.count ({assembly}),Metric,16
08/13/2026 18:52:39,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
08/13/2026 18:52:39,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,50
08/13/2026 18:52:39,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,1
08/13/2026 18:52:39,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,84
08/13/2026 18:52:39,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,560
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,242272
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,344040
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:39,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0750259
08/13/2026 18:52:39,System.Runtime,dotnet.timer.count ({timer}),Metric,0
08/13/2026 18:52:39,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,117
08/13/2026 18:52:39,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,1.15625
08/13/2026 18:52:39,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.03125
08/13/2026 18:52:39,System.Runtime,dotnet.process.memory.working_set (By),Metric,47861760
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,456
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,56
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,7176
08/13/2026 18:52:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:39,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
08/13/2026 18:52:39,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0.033740999999999965
08/13/2026 18:52:39,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,1274868864
08/13/2026 18:52:40,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,14569472
08/13/2026 18:52:40,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
08/13/2026 18:52:40,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,8611
08/13/2026 18:52:40,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
08/13/2026 18:52:40,System.Runtime,dotnet.assembly.count ({assembly}),Metric,16
08/13/2026 18:52:40,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
08/13/2026 18:52:40,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,56
08/13/2026 18:52:40,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
08/13/2026 18:52:40,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,94
